iter	Passed	Remaining
0	63	63406
1	77	38764
2	84	27947
3	92	23095
4	100	19959
5	107	17785
6	117	16606
7	124	15464
8	132	14542
9	138	13732
10	145	13044
11	152	12529
12	160	12196
13	170	12018
14	179	11797
15	188	11581
16	198	11452
17	206	11286
18	216	11189
19	225	11068
20	231	10807
21	241	10717
22	250	10627
23	260	10575
24	269	10493
25	279	10477
26	287	10363
27	292	10167
28	302	10123
29	312	10099
30	322	10084
31	331	10032
32	342	10045
33	352	10019
34	356	9831
35	365	9793
36	377	9826
37	387	9812
38	397	9796
39	405	9736
40	413	9669
41	422	9642
42	435	9684
43	441	9584
44	448	9509
45	459	9537
46	467	9482
47	484	9617
48	497	9663
49	505	9607
50	513	9551
51	521	9508
52	529	9468
53	541	9487
54	549	9440
55	558	9416
56	566	9377
57	574	9333
58	585	9336
59	597	9363
60	606	9335
61	615	9313
62	626	9313
63	634	9286
64	644	9271
65	652	9229
66	661	9215
67	672	9211
68	678	9150
69	684	9093
70	689	9019
71	698	8996
72	705	8957
73	713	8933
74	720	8889
75	724	8802
76	730	8762
77	737	8712
78	744	8674
79	750	8625
80	754	8563
81	760	8514
82	766	8466
83	772	8426
84	779	8390
85	784	8340
86	792	8313
87	798	8277
88	805	8241
89	810	8195
90	815	8150
91	822	8116
92	828	8079
93	833	8037
94	843	8033
95	850	8004
96	856	7972
97	859	7907
98	864	7868
99	871	7842
100	876	7806
101	883	7777
102	889	7744
103	891	7679
104	894	7627
105	899	7582
106	904	7550
107	911	7526
108	914	7475
109	920	7448
110	929	7445
111	935	7419
112	939	7377
113	947	7360
114	955	7351
115	962	7337
116	969	7314
117	971	7260
118	977	7236
119	986	7236
120	993	7214
121	996	7170
122	1003	7153
123	1009	7130
124	1016	7117
125	1023	7100
126	1032	7096
127	1039	7084
128	1046	7063
129	1049	7025
130	1056	7005
131	1063	6995
132	1068	6968
133	1072	6933
134	1079	6916
135	1087	6909
136	1089	6863
137	1091	6819
138	1098	6805
139	1104	6786
140	1112	6776
141	1119	6765
142	1123	6736
143	1133	6740
144	1142	6734
145	1150	6729
146	1159	6726
147	1168	6724
148	1176	6720
149	1179	6684
150	1186	6673
151	1195	6671
152	1204	6665
153	1213	6665
154	1221	6661
155	1232	6669
156	1238	6649
157	1246	6641
158	1249	6609
159	1252	6576
160	1260	6570
161	1267	6556
162	1274	6546
163	1281	6532
164	1288	6518
165	1296	6514
166	1304	6507
167	1312	6499
168	1319	6489
169	1323	6460
170	1330	6449
171	1338	6443
172	1346	6437
173	1354	6430
174	1362	6422
175	1366	6397
176	1370	6370
177	1377	6360
178	1385	6354
179	1392	6343
180	1400	6336
181	1406	6321
182	1414	6313
183	1417	6284
184	1424	6274
185	1433	6273
186	1440	6264
187	1448	6254
188	1454	6243
189	1462	6236
190	1470	6229
191	1479	6226
192	1488	6224
193	1495	6215
194	1502	6202
195	1510	6196
196	1517	6185
197	1525	6179
198	1532	6167
199	1538	6152
200	1543	6136
201	1550	6126
202	1557	6114
203	1564	6102
204	1570	6091
205	1577	6080
206	1584	6068
207	1589	6051
208	1596	6043
209	1603	6031
210	1610	6021
211	1616	6007
212	1623	5996
213	1629	5985
214	1636	5973
215	1642	5963
216	1648	5946
217	1654	5936
218	1661	5926
219	1668	5916
220	1673	5899
